id,title_or_case,score_internal,before,delta,human_score,low_checks,evidence
R01:work:sigye:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:eunbyeol:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:eunbyeol:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:eunbyeol:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:eunbyeol:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:jeokhyeol:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:jeokhyeol:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:jeokhyeol:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:jeokhyeol:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:monghwa:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:monghwa:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:monghwa:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:monghwa:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:seoyeok:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:seoyeok:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:seoyeok:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:seoyeok:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:paeseon:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:paeseon:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:paeseon:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:paeseon:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:myeonsang:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:myeonsang:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:myeonsang:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:myeonsang:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:wolha:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:wolha:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:wolha:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:wolha:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:hongmae:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:hongmae:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:hongmae:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:hongmae:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:yeondam:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:yeondam:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:yeondam:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:yeondam:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:hwagyeong:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:hwagyeong:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:hwagyeong:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:hwagyeong:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:haengsu:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:haengsu:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:haengsu:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:haengsu:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:hunjang:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:hunjang:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:hunjang:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:hunjang:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:yakcho:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:yakcho:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:yakcho:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:yakcho:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:ilgwan:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:ilgwan:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
